,hicat_label
0,connective_tissue
1,connective_tissue
2,connective_tissue
3,breast_glands
4,breast_glands
5,breast_glands
6,breast_glands
7,breast_glands
8,breast_glands
9,breast_glands
10,breast_glands
11,breast_glands
12,connective_tissue
13,connective_tissue
14,connective_tissue
15,connective_tissue
16,connective_tissue
17,connective_tissue
18,connective_tissue
19,connective_tissue
20,connective_tissue
21,connective_tissue
22,connective_tissue
23,connective_tissue
24,connective_tissue
25,connective_tissue
26,connective_tissue
27,connective_tissue
28,connective_tissue
29,connective_tissue
30,connective_tissue
31,connective_tissue
32,connective_tissue
33,breast_glands
34,breast_glands
35,breast_glands
36,breast_glands
37,breast_glands
38,breast_glands
39,breast_glands
40,breast_glands
41,breast_glands
42,breast_glands
43,breast_glands
44,connective_tissue
45,connective_tissue
46,connective_tissue
47,connective_tissue
48,connective_tissue
49,connective_tissue
50,connective_tissue
51,connective_tissue
52,connective_tissue
53,connective_tissue
54,connective_tissue
55,connective_tissue
56,connective_tissue
57,connective_tissue
58,connective_tissue
59,connective_tissue
60,connective_tissue
61,connective_tissue
62,connective_tissue
63,connective_tissue
64,connective_tissue
65,connective_tissue
66,connective_tissue
67,connective_tissue
68,connective_tissue
69,connective_tissue
70,connective_tissue
71,connective_tissue
72,connective_tissue
73,connective_tissue
74,connective_tissue
75,connective_tissue
76,connective_tissue
77,connective_tissue
78,connective_tissue
79,connective_tissue
80,connective_tissue
81,connective_tissue
82,connective_tissue
83,connective_tissue
84,connective_tissue
85,connective_tissue
86,connective_tissue
87,connective_tissue
88,connective_tissue
89,connective_tissue
90,connective_tissue
91,connective_tissue
92,connective_tissue
93,connective_tissue
94,connective_tissue
95,connective_tissue
96,connective_tissue
97,connective_tissue
98,connective_tissue
99,connective_tissue
100,connective_tissue
101,connective_tissue
102,connective_tissue
103,connective_tissue
104,connective_tissue
105,connective_tissue
106,connective_tissue
107,breast_glands
108,breast_glands
109,breast_glands
110,breast_glands
111,breast_glands
112,breast_glands
113,breast_glands
114,breast_glands
115,breast_glands
116,breast_glands
117,breast_glands
118,breast_glands
119,connective_tissue
120,connective_tissue
121,connective_tissue
122,connective_tissue
123,connective_tissue
124,connective_tissue
125,connective_tissue
126,connective_tissue
127,connective_tissue
128,connective_tissue
129,connective_tissue
130,connective_tissue
131,connective_tissue
132,connective_tissue
133,connective_tissue
134,connective_tissue
135,connective_tissue
136,connective_tissue
137,connective_tissue
138,connective_tissue
139,connective_tissue
140,connective_tissue
141,connective_tissue
142,connective_tissue
143,connective_tissue
144,connective_tissue
145,connective_tissue
146,connective_tissue
147,connective_tissue
148,connective_tissue
149,connective_tissue
150,connective_tissue
151,connective_tissue
152,connective_tissue
153,connective_tissue
154,connective_tissue
155,connective_tissue
156,connective_tissue
157,connective_tissue
158,connective_tissue
159,connective_tissue
160,connective_tissue
161,connective_tissue
162,connective_tissue
163,connective_tissue
164,connective_tissue
165,connective_tissue
166,connective_tissue
167,connective_tissue
168,connective_tissue
169,connective_tissue
170,connective_tissue
171,connective_tissue
172,connective_tissue
173,connective_tissue
174,connective_tissue
175,connective_tissue
176,connective_tissue
177,connective_tissue
178,connective_tissue
179,connective_tissue
180,connective_tissue
181,connective_tissue
182,connective_tissue
183,connective_tissue
184,connective_tissue
185,connective_tissue
186,connective_tissue
187,connective_tissue
188,connective_tissue
189,connective_tissue
190,connective_tissue
191,connective_tissue
192,connective_tissue
193,connective_tissue
194,connective_tissue
195,connective_tissue
196,connective_tissue
197,connective_tissue
198,connective_tissue
199,breast_glands
200,breast_glands
201,breast_glands
202,breast_glands
203,breast_glands
204,breast_glands
205,breast_glands
206,breast_glands
207,breast_glands
208,breast_glands
209,breast_glands
210,breast_glands
211,connective_tissue
212,connective_tissue
213,connective_tissue
214,connective_tissue
215,connective_tissue
216,connective_tissue
217,connective_tissue
218,connective_tissue
219,connective_tissue
220,connective_tissue
221,connective_tissue
222,connective_tissue
223,connective_tissue
224,connective_tissue
225,connective_tissue
226,connective_tissue
227,connective_tissue
228,connective_tissue
229,connective_tissue
230,connective_tissue
231,connective_tissue
232,connective_tissue
233,connective_tissue
234,connective_tissue
235,connective_tissue
236,connective_tissue
237,connective_tissue
238,connective_tissue
239,connective_tissue
240,connective_tissue
241,connective_tissue
242,connective_tissue
243,connective_tissue
244,connective_tissue
245,connective_tissue
246,connective_tissue
247,connective_tissue
248,connective_tissue
249,connective_tissue
250,connective_tissue
251,connective_tissue
252,connective_tissue
253,connective_tissue
254,connective_tissue
255,connective_tissue
256,connective_tissue
257,connective_tissue
258,adipose_tissue
259,adipose_tissue
260,adipose_tissue
261,connective_tissue
262,connective_tissue
263,connective_tissue
264,connective_tissue
265,connective_tissue
266,connective_tissue
267,connective_tissue
268,connective_tissue
269,connective_tissue
270,connective_tissue
271,connective_tissue
272,connective_tissue
273,connective_tissue
274,connective_tissue
275,connective_tissue
276,connective_tissue
277,connective_tissue
278,connective_tissue
279,connective_tissue
280,connective_tissue
281,connective_tissue
282,connective_tissue
283,connective_tissue
284,connective_tissue
285,connective_tissue
286,connective_tissue
287,connective_tissue
288,connective_tissue
289,connective_tissue
290,connective_tissue
291,connective_tissue
292,connective_tissue
293,connective_tissue
294,connective_tissue
295,connective_tissue
296,connective_tissue
297,connective_tissue
298,connective_tissue
299,connective_tissue
300,connective_tissue
301,connective_tissue
302,connective_tissue
303,connective_tissue
304,connective_tissue
305,connective_tissue
306,connective_tissue
307,connective_tissue
308,connective_tissue
309,breast_glands
310,breast_glands
311,breast_glands
312,breast_glands
313,breast_glands
314,breast_glands
315,breast_glands
316,breast_glands
317,breast_glands
318,breast_glands
319,breast_glands
320,breast_glands
321,connective_tissue
322,connective_tissue
323,connective_tissue
324,connective_tissue
325,connective_tissue
326,connective_tissue
327,connective_tissue
328,connective_tissue
329,connective_tissue
330,connective_tissue
331,connective_tissue
332,connective_tissue
333,connective_tissue
334,connective_tissue
335,connective_tissue
336,connective_tissue
337,connective_tissue
338,connective_tissue
339,connective_tissue
340,connective_tissue
341,connective_tissue
342,connective_tissue
343,connective_tissue
344,connective_tissue
345,connective_tissue
346,connective_tissue
347,connective_tissue
348,connective_tissue
349,connective_tissue
350,connective_tissue
351,connective_tissue
352,connective_tissue
353,connective_tissue
354,connective_tissue
355,connective_tissue
356,connective_tissue
357,connective_tissue
358,connective_tissue
359,connective_tissue
360,connective_tissue
361,connective_tissue
362,connective_tissue
363,connective_tissue
364,connective_tissue
365,connective_tissue
366,connective_tissue
367,connective_tissue
368,connective_tissue
369,connective_tissue
370,connective_tissue
371,connective_tissue
372,adipose_tissue
373,adipose_tissue
374,adipose_tissue
375,adipose_tissue
376,adipose_tissue
377,adipose_tissue
378,adipose_tissue
379,adipose_tissue
380,adipose_tissue
381,connective_tissue
382,connective_tissue
383,connective_tissue
384,connective_tissue
385,connective_tissue
386,connective_tissue
387,connective_tissue
388,connective_tissue
389,connective_tissue
390,connective_tissue
391,connective_tissue
392,connective_tissue
393,connective_tissue
394,connective_tissue
395,connective_tissue
396,connective_tissue
397,connective_tissue
398,connective_tissue
399,connective_tissue
400,connective_tissue
401,connective_tissue
402,connective_tissue
403,connective_tissue
404,connective_tissue
405,connective_tissue
406,connective_tissue
407,connective_tissue
408,connective_tissue
409,connective_tissue
410,connective_tissue
411,connective_tissue
412,connective_tissue
413,connective_tissue
414,connective_tissue
415,connective_tissue
416,connective_tissue
417,connective_tissue
418,connective_tissue
419,connective_tissue
420,connective_tissue
421,connective_tissue
422,connective_tissue
423,connective_tissue
424,connective_tissue
425,connective_tissue
426,connective_tissue
427,connective_tissue
428,connective_tissue
429,connective_tissue
430,breast_glands
431,breast_glands
432,breast_glands
433,breast_glands
434,breast_glands
435,breast_glands
436,breast_glands
437,breast_glands
438,breast_glands
439,breast_glands
440,connective_tissue
441,connective_tissue
442,connective_tissue
443,connective_tissue
444,connective_tissue
445,connective_tissue
446,connective_tissue
447,connective_tissue
448,connective_tissue
449,connective_tissue
450,connective_tissue
451,connective_tissue
452,connective_tissue
453,connective_tissue
454,connective_tissue
455,connective_tissue
456,connective_tissue
457,connective_tissue
458,connective_tissue
459,connective_tissue
460,connective_tissue
461,connective_tissue
462,connective_tissue
463,connective_tissue
464,connective_tissue
465,connective_tissue
466,connective_tissue
467,connective_tissue
468,connective_tissue
469,connective_tissue
470,connective_tissue
471,connective_tissue
472,connective_tissue
473,connective_tissue
474,connective_tissue
475,connective_tissue
476,connective_tissue
477,connective_tissue
478,connective_tissue
479,connective_tissue
480,connective_tissue
481,connective_tissue
482,connective_tissue
483,connective_tissue
484,connective_tissue
485,connective_tissue
486,connective_tissue
487,connective_tissue
488,connective_tissue
489,connective_tissue
490,connective_tissue
491,connective_tissue
492,connective_tissue
493,connective_tissue
494,adipose_tissue
495,adipose_tissue
496,adipose_tissue
497,adipose_tissue
498,adipose_tissue
499,adipose_tissue
500,adipose_tissue
501,adipose_tissue
502,connective_tissue
503,connective_tissue
504,connective_tissue
505,connective_tissue
506,connective_tissue
507,connective_tissue
508,connective_tissue
509,connective_tissue
510,connective_tissue
511,connective_tissue
512,connective_tissue
513,connective_tissue
514,connective_tissue
515,connective_tissue
516,connective_tissue
517,connective_tissue
518,connective_tissue
519,connective_tissue
520,connective_tissue
521,connective_tissue
522,connective_tissue
523,connective_tissue
524,connective_tissue
525,connective_tissue
526,connective_tissue
527,connective_tissue
528,connective_tissue
529,connective_tissue
530,connective_tissue
531,connective_tissue
532,connective_tissue
533,connective_tissue
534,connective_tissue
535,connective_tissue
536,connective_tissue
537,connective_tissue
538,connective_tissue
539,connective_tissue
540,connective_tissue
541,connective_tissue
542,connective_tissue
543,connective_tissue
544,connective_tissue
545,connective_tissue
546,connective_tissue
547,connective_tissue
548,connective_tissue
549,connective_tissue
550,connective_tissue
551,breast_glands
552,breast_glands
553,breast_glands
554,breast_glands
555,breast_glands
556,breast_glands
557,breast_glands
558,breast_glands
559,breast_glands
560,breast_glands
561,connective_tissue
562,connective_tissue
563,connective_tissue
564,connective_tissue
565,connective_tissue
566,connective_tissue
567,connective_tissue
568,connective_tissue
569,connective_tissue
570,connective_tissue
571,connective_tissue
572,connective_tissue
573,connective_tissue
574,connective_tissue
575,connective_tissue
576,connective_tissue
577,connective_tissue
578,connective_tissue
579,connective_tissue
580,connective_tissue
581,connective_tissue
582,connective_tissue
583,connective_tissue
584,connective_tissue
585,connective_tissue
586,connective_tissue
587,connective_tissue
588,connective_tissue
589,connective_tissue
590,connective_tissue
591,connective_tissue
592,connective_tissue
593,connective_tissue
594,connective_tissue
595,connective_tissue
596,connective_tissue
597,connective_tissue
598,connective_tissue
599,connective_tissue
600,connective_tissue
601,connective_tissue
602,connective_tissue
603,connective_tissue
604,connective_tissue
605,connective_tissue
606,connective_tissue
607,connective_tissue
608,connective_tissue
609,connective_tissue
610,connective_tissue
611,connective_tissue
612,connective_tissue
613,connective_tissue
614,adipose_tissue
615,adipose_tissue
616,adipose_tissue
617,adipose_tissue
618,adipose_tissue
619,connective_tissue
620,adipose_tissue
621,connective_tissue
622,connective_tissue
623,connective_tissue
624,connective_tissue
625,connective_tissue
626,connective_tissue
627,connective_tissue
628,connective_tissue
629,connective_tissue
630,connective_tissue
631,connective_tissue
632,connective_tissue
633,connective_tissue
634,connective_tissue
635,connective_tissue
636,connective_tissue
637,connective_tissue
638,connective_tissue
639,connective_tissue
640,connective_tissue
641,connective_tissue
642,connective_tissue
643,connective_tissue
644,connective_tissue
645,connective_tissue
646,connective_tissue
647,connective_tissue
648,connective_tissue
649,connective_tissue
650,connective_tissue
651,connective_tissue
652,connective_tissue
653,connective_tissue
654,connective_tissue
655,connective_tissue
656,connective_tissue
657,connective_tissue
658,connective_tissue
659,connective_tissue
660,connective_tissue
661,connective_tissue
662,connective_tissue
663,connective_tissue
664,connective_tissue
665,connective_tissue
666,connective_tissue
667,connective_tissue
668,connective_tissue
669,connective_tissue
670,connective_tissue
671,connective_tissue
672,breast_glands
673,breast_glands
674,breast_glands
675,breast_glands
676,breast_glands
677,breast_glands
678,breast_glands
679,breast_glands
680,breast_glands
681,connective_tissue
682,connective_tissue
683,connective_tissue
684,connective_tissue
685,connective_tissue
686,connective_tissue
687,connective_tissue
688,connective_tissue
689,connective_tissue
690,connective_tissue
691,connective_tissue
692,connective_tissue
693,connective_tissue
694,connective_tissue
695,connective_tissue
696,connective_tissue
697,connective_tissue
698,connective_tissue
699,connective_tissue
700,connective_tissue
701,connective_tissue
702,connective_tissue
703,connective_tissue
704,connective_tissue
705,connective_tissue
706,connective_tissue
707,connective_tissue
708,connective_tissue
709,connective_tissue
710,connective_tissue
711,connective_tissue
712,connective_tissue
713,connective_tissue
714,connective_tissue
715,connective_tissue
716,connective_tissue
717,connective_tissue
718,connective_tissue
719,connective_tissue
720,connective_tissue
721,connective_tissue
722,connective_tissue
723,connective_tissue
724,connective_tissue
725,connective_tissue
726,connective_tissue
727,connective_tissue
728,connective_tissue
729,connective_tissue
730,connective_tissue
731,connective_tissue
732,connective_tissue
733,connective_tissue
734,connective_tissue
735,connective_tissue
736,connective_tissue
737,connective_tissue
738,connective_tissue
739,connective_tissue
740,connective_tissue
741,connective_tissue
742,connective_tissue
743,connective_tissue
744,connective_tissue
745,connective_tissue
746,connective_tissue
747,connective_tissue
748,connective_tissue
749,connective_tissue
750,connective_tissue
751,connective_tissue
752,connective_tissue
753,connective_tissue
754,connective_tissue
755,connective_tissue
756,connective_tissue
757,connective_tissue
758,connective_tissue
759,connective_tissue
760,connective_tissue
761,connective_tissue
762,connective_tissue
763,connective_tissue
764,connective_tissue
765,connective_tissue
766,connective_tissue
767,connective_tissue
768,connective_tissue
769,connective_tissue
770,connective_tissue
771,connective_tissue
772,connective_tissue
773,connective_tissue
774,connective_tissue
775,connective_tissue
776,connective_tissue
777,connective_tissue
778,connective_tissue
779,connective_tissue
780,connective_tissue
781,connective_tissue
782,connective_tissue
783,connective_tissue
784,connective_tissue
785,connective_tissue
786,connective_tissue
787,connective_tissue
788,connective_tissue
789,connective_tissue
790,connective_tissue
791,connective_tissue
792,connective_tissue
793,connective_tissue
794,breast_glands
795,breast_glands
796,breast_glands
797,breast_glands
798,breast_glands
799,breast_glands
800,breast_glands
801,breast_glands
802,breast_glands
803,connective_tissue
804,connective_tissue
805,connective_tissue
806,connective_tissue
807,connective_tissue
808,connective_tissue
809,connective_tissue
810,connective_tissue
811,connective_tissue
812,connective_tissue
813,connective_tissue
814,connective_tissue
815,connective_tissue
816,connective_tissue
817,connective_tissue
818,connective_tissue
819,connective_tissue
820,connective_tissue
821,connective_tissue
822,connective_tissue
823,connective_tissue
824,connective_tissue
825,connective_tissue
826,connective_tissue
827,connective_tissue
828,connective_tissue
829,connective_tissue
830,connective_tissue
831,connective_tissue
832,connective_tissue
833,connective_tissue
834,connective_tissue
835,connective_tissue
836,connective_tissue
837,connective_tissue
838,connective_tissue
839,connective_tissue
840,connective_tissue
841,connective_tissue
842,connective_tissue
843,connective_tissue
844,connective_tissue
845,connective_tissue
846,connective_tissue
847,connective_tissue
848,connective_tissue
849,connective_tissue
850,connective_tissue
851,connective_tissue
852,connective_tissue
853,connective_tissue
854,connective_tissue
855,connective_tissue
856,connective_tissue
857,connective_tissue
858,connective_tissue
859,connective_tissue
860,connective_tissue
861,connective_tissue
862,connective_tissue
863,connective_tissue
864,connective_tissue
865,connective_tissue
866,connective_tissue
867,connective_tissue
868,connective_tissue
869,connective_tissue
870,connective_tissue
871,connective_tissue
872,connective_tissue
873,connective_tissue
874,connective_tissue
875,connective_tissue
876,connective_tissue
877,connective_tissue
878,connective_tissue
879,connective_tissue
880,connective_tissue
881,connective_tissue
882,connective_tissue
883,connective_tissue
884,connective_tissue
885,connective_tissue
886,connective_tissue
887,connective_tissue
888,connective_tissue
889,connective_tissue
890,connective_tissue
891,connective_tissue
892,connective_tissue
893,connective_tissue
894,connective_tissue
895,connective_tissue
896,connective_tissue
897,connective_tissue
898,connective_tissue
899,connective_tissue
900,connective_tissue
901,connective_tissue
902,connective_tissue
903,connective_tissue
904,connective_tissue
905,connective_tissue
906,connective_tissue
907,connective_tissue
908,connective_tissue
909,connective_tissue
910,connective_tissue
911,connective_tissue
912,connective_tissue
913,connective_tissue
914,connective_tissue
915,connective_tissue
916,connective_tissue
917,connective_tissue
918,connective_tissue
919,connective_tissue
920,breast_glands
921,breast_glands
922,breast_glands
923,breast_glands
924,breast_glands
925,breast_glands
926,breast_glands
927,breast_glands
928,breast_glands
929,connective_tissue
930,connective_tissue
931,connective_tissue
932,connective_tissue
933,connective_tissue
934,connective_tissue
